"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.957,2.235,3.84,1.627,0.04221,0.6715,-102.4
1,1.784,0.7355,4.526,1.287,0.1598,0.7376,-100.8
1,1.922,1.227,3.634,2.018,1.645,0.6936,-101.9
1,1.888,3.21,1.56,1.402,0.02997,0.9532,-94.99
1,2.046,2.342,2.661,0.3441,2.568,0.7816,-96.04
1,1.422,0.9917,3.218,0.1822,0.2987,0.756,-98.68
1,2.076,1.864,3.999,1.764,1.601,0.685,-101.2
1,1.849,2.052,2.957,0.8878,0.7331,0.7657,-105.8
1,1.822,1.525,2.197,1.277,0.4638,0.6993,-104.7
1,1.975,0.5368,1.74,4.19,1.792,0.8273,-91.77
1,1.868,1.915,3.281,2.815,0.4413,0.8164,-101.7
1,1.65,0.7642,1.528,1.828,0.6667,0.7308,-104.2
1,1.778,1.617,3.476,1.315,0.4319,0.9512,-99.44
1,1.979,3.1,2.924,1.504,0.2723,0.785,-103.1
1,1.525,1.586,0.09315,0.7219,0.238,0.8182,-96.64
1,1.795,2.171,2.423,1.15,1.469,0.7046,-104.7
1,1.676,0.6278,2.567,1.618,0.6989,0.7386,-105.7
1,1.739,0.5797,1.862,1.132,0.2862,0.7374,-100.8
1,1.513,0.6476,2.613,1.122,0.09191,0.832,-102.9
1,1.838,1.404,3.56,0.7648,1.178,0.8068,-103.4
1,1.507,0.9194,2.18,1.148,1.2,0.7096,-100.6
1,1.842,0.8228,2.167,1.204,1.044,0.7447,-102.7
1,1.983,2.354,1.352,1.689,1.873,0.877,-98.73
1,1.514,0.9558,3.333,1.339,0.5576,0.6739,-96.75
1,1.728,0.6374,2.133,1.746,1.545,0.6963,-103.1
1,1.586,0.6725,2.328,1.92,0.9658,0.7016,-102
1,1.78,1.839,2.063,1.243,1.218,0.7402,-106.1
1,1.786,1.511,0.8193,3.059,0.429,0.804,-97.37
1,1.74,1.075,1.932,2.778,0.499,0.7842,-102.7
